Scenario - Bisection Task
Logfile written - 09/11/2018 16:35:26

Subject	Trial	Event Type	Code	event_cond(str)	subject_id(num)	block_name(str)	block_number(num)	trial_number(num)	probe(num)	ITI(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
1	248	Sound	Stim;1;test;2;27;7;1898	Stim	1	test	2	27	7	1898	6575966	0	4			0		other	0
1	249	Picture	ITI	ITI							6625995	0	1	10693	1	0	next	other	0
1	250	Sound	Stim;1;test;2;28;3;1061	Stim	1	test	2	28	3	1061	6636611	0	4			0		other	0
1	251	Picture	ITI	ITI							6671059	0	1	17220	1	0	next	other	0
1	252	Sound	Stim;1;test;2;29;3;1715	Stim	1	test	2	29	3	1715	6688214	0	4			0		other	0
1	253	Picture	ITI	ITI							6722719	0	1	17220	1	0	next	other	0
1	254	Sound	Stim;1;test;2;30;5;1713	Stim	1	test	2	30	5	1713	6739855	0	4			0		other	0
1	255	Picture	ITI	ITI							6780697	0	1	10554	1	0	next	other	0
1	256	Sound	Stim;1;test;2;31;6;1049	Stim	1	test	2	31	6	1049	6791195	0	4			0		other	0
1	257	Picture	ITI	ITI							6836176	0	1	15206	1	0	next	other	0
1	258	Sound	Stim;1;test;2;32;2;1516	Stim	1	test	2	32	2	1516	6851341	0	4			0		other	0
1	259	Picture	ITI	ITI							6883392	0	1	12082	1	0	next	other	0
1	260	Sound	Stim;1;test;2;33;4;1201	Stim	1	test	2	33	4	1201	6895412	0	4			0		other	0
1	261	Picture	ITI	ITI							6932760	0	1	12290	1	0	next	other	0
1	262	Sound	Stim;1;test;2;34;7;1224	Stim	1	test	2	34	7	1224	6945012	0	4			0		other	0
1	263	Picture	ITI	ITI							6995043	0	1	13887	1	0	next	other	0
1	264	Sound	Stim;1;test;2;35;5;1380	Stim	1	test	2	35	5	1380	7008850	0	4			0		other	0
1	265	Picture	ITI	ITI							7049689	0	1	16803	1	0	next	other	0
1	266	Sound	Stim;1;test;2;36;7;1673	Stim	1	test	2	36	7	1673	7066428	0	4			0		other	0
1	267	Picture	ITI	ITI							7116416	0	1	15831	1	0	next	other	0
1	268	Sound	Stim;1;test;2;37;1;1577	Stim	1	test	2	37	1	1577	7132194	0	4			0		other	0
1	269	Picture	ITI	ITI							7162244	0	1	12776	1	0	next	other	0
